Variable Name,Label,Description,,
,,,,
BV001,Customer Code,Identifies each customer by its unique code number,,
,,,,
,,,,
BV002,Number of Receivers,Indicates the number of receivers that exists in the customer residence address.,This is a weighted measure (adjusted for the number and type of channels subscibed per receiver) ,
,,Values: ,,
,,0-25,,
,,,,
BV009,Number of PPV Orders in Last 12 Months,Indicates the total number of Pay-Per-View orders in last 12 months that the customer paid for.,,
,,Values: ,,
,,0-999,,
,,,,
BV022,DVR Service,Indicates the existence of DVR in the customer residence.,,
,,Values: ,,
,,Y=Yes,NULL=No,
,,,,
BV023,HD Programming Service,Indicates the existence of HD Receiver in the customer residence.,,
,,Values: ,,
,,Y=Yes,NULL=No,
,,,,
DV003,RESPONDER RATING,A derived variable that indicates how often a household responds to a catalog purchase offer.,,
,,Values:,,
,,1 = Infrequent Responder,3 = Moderate Responder,
,,2= Occasional Responder,4 = Frequent Responder,
,,,,
,, ,,
DV006,EST MORTGAGE LOAN AMOUNT,"A modeled field estimating the actual mortgage loan amount (maximum value is $9,999,999).    ",,
,,Values: ,,
,,0-9999999,,
,,,,
DV011,Computer,Household member has computer/internet products at home,,
,,Values:,,
,,1=Yes,0=No,
,,,,
DV012,Cooking,indicated an interest in cooking or gourmet cooking/fine foods,,
,,Values:,,
,,1=Yes,0=No,
DV024,GARDENING,Indicates an interest in gardening or plants,,
,,Values:,,
,,1=Yes,0=No,
,,,,
DV027,Gourmet Food,Indicates an interest in health/natural foods,,
,,Values:,,
,,1=Yes,0=No,
,,,,
DV030,Home Business,Indicates having small business in the home,,
,,Values:,,
,,1=Yes,0=No,
,,,,
DV036,DWELLING TYPE,Type of household structure.,,
,,Values: ,,
,,A = Apartment = 1,S = Single Family Detached Unit = 2,
,,H = High-Rise (Inc. Condo) = 3,U = Unknown (or P.O. Box) = 0,
,,L = Low-Rise (Inc. Duplex) = 4,,
,,,,
DV041,Mega Variable: Household Income                     ,"'Mega' variable which populates the actual household income and when missing, geo level equivalent.",,
,,Values:,,
,,$8000-$275000,,
DV042 - removed blanks,Mega Variable: Gender                     ,"Mega' variable which populates the individual level matched actual gender and when missing, head of household level actual gender.",,
,,Values:,,
,,"M=Male = 1, F=Female = 0",,
DV044,Mega Variable: Homeowner                  ,"'Mega' variable which populates the actual homeowner indicator and when missing, the modeled homeowner one.",,
,,Values: ,,
,,"Y=Homeowner = 1, R=Renter = 0",,
DV048,Mega Variable: Number of Total Rooms,"'Mega' variable which populates the actual total number of rooms and when missing, the geo level equivalent.",,
,,Values:,,
,,"0-99, with trailing decimals",,
,,,,
DV053,New Age,Indicates an interest in wildlife/environmental issues/health/natural foods,,
,,Values:,,
,,1=Yes,0=No,
,,,,
,,,,
DV057,Photography,Indicates an interest in photography,,
,,Values:,,
,,1=Yes,0=No,
,,,,
DV061,Readers,Indicates an interest in reading,,
,,Values:,,
,,1=Yes,0=No,
,,,,
DV068,Upscale,Household has a credit card issued by an upscale retail store,,
,,Values:,,
,,1=Yes,0=No,
DV071,Age,Actual Age of matched individual Or Inferred (modeled) Age if Actual Age is missing,,
,,Values:,,
,,00 - 99,,
DV072,EDUCATION,"Educational attainment of matched individual. (Actual or Inferred, if missing)",,
,,Values: ,,
,,0 = Unknown,2 = Some College,4 = Graduate School
,,1 = High School,3 = Completed College,
,,,,
DV074,Marital Status,Actual Marital Status and Inferred (Modeled) if actual is Missing,,
,,Values: ,,
,,M - Married - 1,S - Single - 0,
