Customer Code,# of Receivers,Profit per Receiver,Profit per Receiver Bucket,# of PPV Orders (last 12 Months),Profit per PPV order,Profit per PPV order Bucket,DVR Service,DVR Service Profit,DVR Service Profit Bucket,HD Programming Service,HD Service Profit,HD Service Profit Bucket,Total Profit,Total Profit Buckets,Responder Rating,Est. Mortgage Loan Amount,Dwelling Type,Photography,Gardening,Cooking,Gourmet Food,Home Business,Readers,New Age,Upscale,Computer,Age,Marital Status,Education,Household Income,Gender,Homeowner,Number of Total Rooms,Customer Count,Age Group,Dwelling Type Details,Education Status Details,Cluster
1,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,$0,0,107966,3,0,0,0,0,0,0,0,0,0,45,0,1,8000,0,0,8,1,45-54,Condo,High School,1
2,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,$0,0,107966,3,0,0,0,0,0,0,0,0,0,38,0,2,20000,0,0,6,1,35-44,Condo,Some College,1
3,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,$0,0,100320,2,0,0,0,0,0,0,0,1,0,30,0,1,30000,0,0,10,1,25-34,Single Family,High School,1
4,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,113063,4,0,0,1,0,1,1,0,0,0,79,0,1,8000,0,0,6.5,1,70-Above,Duplex,High School,1
5,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,1,123367,2,0,1,1,1,0,1,1,1,1,30,1,3,8000,0,1,12,1,25-34,Single Family,Completed College,1
6,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,102869,2,0,0,0,0,0,0,0,1,0,90,1,1,8000,0,1,4,1,70-Above,Single Family,High School,1
7,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,3,105417,3,0,0,0,0,0,1,0,0,0,85,0,1,8000,0,1,5,1,70-Above,Condo,High School,1
8,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,107966,2,0,0,1,0,0,1,0,0,1,46,0,1,8000,0,0,6.29,1,45-54,Single Family,High School,1
9,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,118161,2,0,0,0,0,0,0,0,0,0,37,0,2,8000,0,1,6.97,1,35-44,Single Family,Some College,1
10,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,4,86294,2,0,1,1,1,0,1,1,0,1,57,1,2,8000,0,0,7,1,55-69,Single Family,Some College,1
11,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,120709,4,0,0,0,0,1,0,0,1,0,40,1,3,8000,0,0,7.33,1,35-44,Unknown,Completed College,1
12,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,102869,4,0,0,0,0,0,0,0,0,0,38,0,1,8000,0,0,7.06,1,35-44,Unknown,High School,1
13,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,1,113063,4,0,0,0,0,0,0,0,0,1,50,0,2,8000,0,0,9,1,45-54,Unknown,Some College,1
14,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,97771,4,0,0,0,1,0,1,1,0,1,63,0,2,8000,0,0,7,1,55-69,Unknown,Some College,1
15,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,102869,2,0,0,0,0,0,0,0,0,0,38,0,1,8000,0,0,3.67,1,35-44,Single Family,High School,1
16,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,100320,2,0,1,0,0,0,1,0,1,1,79,1,1,8000,0,1,4,1,70-Above,Single Family,High School,1
17,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,113063,2,0,0,0,0,0,0,0,0,0,22,0,1,8000,0,0,4,1,18-24,Single Family,High School,1
18,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,100320,3,0,0,0,0,1,0,0,1,0,70,0,1,8000,0,0,5,1,70-Above,Condo,High School,1
19,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,81156,2,0,0,0,0,1,0,0,0,0,45,1,1,8000,0,0,5,1,45-54,Single Family,High School,1
20,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,102869,4,0,1,0,0,0,1,0,0,1,24,0,2,8000,0,0,5,1,18-24,Unknown,Some College,1
21,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,105417,2,0,0,0,0,0,0,0,0,0,34,0,1,8000,0,0,5,1,25-34,Single Family,High School,1
